stratum_id,label,arms_race_scenario,bin_left,bin_right,share,count
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,unilateral,-180.0,0.0,0.0433,1732.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,unilateral,0.0,100.0,0.343175,13727.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,unilateral,100.0,200.0,0.22075,8830.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,unilateral,200.0,300.0,0.156375,6255.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,unilateral,300.0,400.0,0.089325,3573.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,unilateral,400.0,500.0,0.073475,2939.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,unilateral,500.0,600.0,0.0509,2036.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,unilateral,600.0,720.0,0.0227,908.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,unilateral,-180.0,0.0,0.021425,857.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,unilateral,0.0,100.0,0.32485,12994.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,unilateral,100.0,200.0,0.241075,9643.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,unilateral,200.0,300.0,0.163675,6547.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,unilateral,300.0,400.0,0.0878,3512.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,unilateral,400.0,500.0,0.0798,3192.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,unilateral,500.0,600.0,0.053325,2133.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,unilateral,600.0,720.0,0.02805,1122.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,unilateral,-180.0,0.0,0.001375,55.0
